depth,magnitude_a,time,latitude,longitude
6,7.1,19830621152525, 41159 , 139000 
18,5,19830621153458.2, 41235 , 139022 
0,5.2,19830621154645.7, 41282 , 139047 
19,5.3,19830621160418.7, 41201 , 139037 
7,5,19830621161347.8, 41217 , 139066 
13,5.1,19830621202950.4, 41153 , 138540 
0,6,1983062123489, 24172 , 122366 
142,5.6,19830622020652.2, 29376 , 129345 
18,5.3,19830622133417.7, 41255 , 139006 
28,5.2,19830622133631.3, 41105 , 138574 
19,5,19830622143930.5, 41262 , 139001 
11,5.2,19830623002022.2, 41222 , 139045 
12,5.2,19830623051545, 40060 , 138557 
55,6.3,19830624180648.5, 23570 , 122403 
403,5.2,19830625225025.4, 32214 , 137580 
0,5,19830625231258.7, 23106 , 123518 
20,5,19830626225651.8, 41228 , 139106 
249,5.8,19830627024510.5, 29038 , 140235 
14,5.1,19830629141152.7, 40217 , 138513 
0,5.5,1983063022395.1, 43548 , 147281 
10,5.3,19830701032449.6, 44185 , 149478 
54,5.1,19830701081851.1, 43415 , 149267 
40,5.4,19830701084216.4, 44276 , 149421 
60,5,19830701121633.3, 44215 , 149561 
62,5.4,19830701194655.4, 43499 , 149324 
54,5.8,19830702070341.6, 36545 , 141113 
26,5,19830702083157, 40048 , 138498 
28,5.2,19830702143240.1, 40011 , 138550 
225,6,19830703114929.5, 20283 , 122035 
15,5.2,19830703160522.8, 41302 , 139032 
57,5.2,19830705175447, 26202 , 128561 
40,5,19830711021946.4, 27222 , 128214 
35,5.3,19830718141135.1, 37201 , 141402 
386,5.3,1983071903094, 33443 , 136572 
17,5,19830721061145.9, 40086 , 138490 
14,5.1,19830722211616.6, 40062 , 138544 
197,5,19830724235233.9, 39391 , 139440 
51,5,19830725153050.8, 40033 , 138551 
21,5.2,19830726081740.5, 40053 , 138504 
10,5.2,19830728185811.7, 43450 , 147287 
63,5.3,19830729000644.7, 41573 , 142438 
60,5.2,1983080202382.4, 44054 , 148400 
175,6,19830802111742.7, 20270 , 122084 
59,5.1,19830803070755.4, 27146 , 128311 
0,5,1983080707062.9, 43354 , 149154 
22,6,19830808124758.6, 35313 , 139013 
0,5.2,1983081708395.3, 44408 , 149475 
40,5,19830820095357, 36597 , 145185 
65,5.9,19830820220831.6, 27574 , 142253 
50,5.6,19830825152029.6, 44394 , 148469 
116,6.6,19830826052334.4, 33334 , 131363 
0,5.2,19830828221939.8, 43459 , 148510 
49,5.2,19830902120547, 36402 , 141009 
39,5.4,19830906163717.5, 38104 , 142043 
44,5.5,19830908081159.4, 24036 , 122192 
0,5.3,19830913235935.9, 40218 , 143137 
36,5,19830914004915.2, 28108 , 129370 
48,6.4,19830922042044.5, 23407 , 122205 
50,5.1,1983092320202.2, 40441 , 139104 
28,5.1,19830923203658.9, 40456 , 139102 
564,5.6,19830928165912.3, 41181 , 132492 
563,5.7,19830928170446.9, 41171 , 132531 
15,6.2,19831003223335.9, 34004 , 139307 
30,5.4,1983100412101.1, 20072 , 121234 
560,5.8,19831008164527.1, 44100 , 130576 
63,5.4,19831013190140.4, 41449 , 144351 
63,5.2,19831014073658.2, 38412 , 142026 
15,5.3,19831016193912.8, 37084 , 137583 
77,5.7,19831023134444, 41489 , 142372 
595,5,19831024153328.6, 42442 , 135350 
60,5.2,19831028105032.4, 36124 , 140012 
15,6.2,19831031015156, 35250 , 133554 
13,5.7,19831031015525.9, 35264 , 133593 
531,5.4,19831031105450.4, 30143 , 137374 
262,5.2,19831031144026.3, 44516 , 142530 
126,5.1,19831107105552, 27392 , 127366 
44,5.1,19831109173634, 41179 , 142240 
34,5,1983111003313.2, 28282 , 142390 
47,5.5,19831111141332.3, 38534 , 142057 
26,5.9,1983111602353.3, 31192 , 142113 
54,5.5,19831116030358.7, 31128 , 142031 
39,5.3,1983111619446.2, 37199 , 141404 
20,6.1,19831120094444.8, 43540 , 148137 
36,5.2,19831124102336.4, 34441 , 137423 
10,5,19831126000525.4, 40076 , 138495 
124,5.4,19831130055951, 32393 , 140115 
56,6,19831130115646.7, 41458 , 142549 
41,5.3,19831205105338.8, 32299 , 131552 
79,5.1,19831207172234, 33595 , 140157 
35,5,19831210081555, 26077 , 125187 
31,5.1,19831212022429.8, 32028 , 132104 
53,5.1,19831222175817.1, 25588 , 128343 
30,5.2,19831226183712.6, 43126 , 147393 
52,5.5,19831230113040.2, 35407 , 140448 
55,5.2,19831230135915.8, 35399 , 140469 
41.2,5,19860105182133.6, 43045 , 145576 
33,5.2,19860113205721, 23345 , 123527 
453.7,5.3,19860116173444.1, 29490 , 139049 
33,5,1986011620120, 28060 , 140392 
113,5.7,19860116220434.3, 23474 , 122090 
33,5,19860117210730.8, 27592 , 140497 
33,5.2,19860119153550.9, 26517 , 142542 
69,5.1,1986013111277.1, 43570 , 148067 
541,6.6,19860204054735.9, 27545 , 139568 
0,5.8,19860211033343, 39261 , 143437 
0,5,19860211040246.4, 39230 , 143491 
0,5,19860211051650, 39220 , 143525 
0,5.2,19860211053619.4, 39295 , 143460 
44.2,6.1,19860212115931.6, 36252 , 141048 
10,5,19860214042445.7, 39347 , 143371 
0,5.1,19860220025612, 39072 , 144427 
33,5.3,19860220171622.4, 28066 , 140204 
62.4,5.3,19860221120817.5, 41508 , 142384 
0,5.6,19860227152312.2, 23488 , 122289 
114,5,19860228193113.1, 22040 , 143501 
88,5.1,19860301074739.8, 23448 , 141449 
32.7,6,19860302160926, 38284 , 142187 
4.1,5.1,19860307032533.5, 36015 , 137300 
33,5.1,19860308073029, 24217 , 123274 
26,5.3,1986030921255.4, 32352 , 141235 
67,5.4,19860314174215.8, 43409 , 147347 
474.6,5.8,19860317181824.2, 27216 , 140160 
33,5.6,19860322134531.4, 23244 , 121347 
33,5,19860322173253.4, 24492 , 122574 
33,5,19860322183318, 24358 , 122424 
33,5.2,1986032218485.4, 24450 , 122580 
33,5.4,19860322185748.7, 24473 , 122503 
33,5.2,1986032219317.2, 24440 , 122548 
33,5.3,19860322201936.1, 24418 , 122476 
33,5.3,19860322210633.2, 24426 , 122553 
33,5.2,19860322223358.1, 24455 , 123012 
33,5,1986032223463.6, 24475 , 122553 
33,5.3,19860323034532.4, 24455 , 123141 
33,5,19860323085347.3, 24496 , 123077 
0,5.1,19860323125043.5, 28428 , 130058 
17.5,6.1,19860324110128.5, 28307 , 130157 
33,5.2,19860324113358.3, 24566 , 122479 
